x,y,z
-0.244299,-0.143599,-2.197675
-0.222526,0.107004,-2.137895
-0.218292,0.111481,-2.102981
-0.229220,0.098994,-2.080927
-0.229390,0.100609,-2.086876
-0.229747,0.102224,-2.077707
-0.222129,0.113433,-2.069577
-0.231078,0.086412,-2.048045
-0.230934,0.105901,-2.025221
-0.233887,0.073455,-2.014777
-0.236846,0.109581,-2.027540
-0.234104,0.110594,-2.015960
-0.237816,0.106371,-2.053249
-0.234630,0.075411,-2.016177
-0.233572,0.110657,-2.014149
-0.234958,0.068849,-2.015788
-0.237830,0.101285,-2.006016
-0.237568,0.110305,-1.974269
-0.039510,0.106369,-1.903930
-0.241097,0.113297,-1.967622
-0.250431,0.082106,-1.986555
-0.251091,0.102586,-1.976407
-0.257034,0.077486,-1.990237
-0.251367,0.108667,-1.980686
6.812010,-0.015916,-4.542109
6.666976,-0.011597,-4.526689
6.602505,-0.009837,-4.542752
6.664206,-0.013311,-4.510586
6.657566,-0.012873,-4.479289
6.594890,-0.010921,-4.504840
0.627002,-0.464703,1.463883
-1.619991,-0.052530,3.359718
0.042247,0.041393,0.380830
0.080877,0.033731,0.495441
0.587106,-2.896042,-11.427883
5.766737,-0.153887,-4.895477
14.194143,-1.580819,-2.113848
3.127851,0.083571,-4.681280
9.703905,-2.369025,-5.331231
3.788916,0.075710,-5.193737
3.691838,-0.138638,-5.217526
3.838677,-0.138000,-5.208724
5.383140,0.199886,-4.875590
3.552600,-0.217560,-5.214944
10.364855,-1.840856,-4.821733
14.968666,-3.557918,-2.559494
3.418605,0.079373,-4.714207
7.326669,0.524898,-4.971326
4.044293,-0.143828,-5.205950
3.957753,-0.074398,-5.208808
3.721546,-0.094274,-5.215011
3.955284,-0.072936,-5.207713
3.762864,0.078422,-5.212792
3.731152,-0.019807,-5.210547
3.754789,-0.014746,-5.212170
0.281075,0.120360,-2.928209
0.160189,0.122817,-2.914422
1.573429,-0.486817,-4.638143
0.159704,0.124133,-2.921160
-1.154277,0.826553,-16.826448
0.263862,0.122793,-2.975617
-0.057279,0.184356,-5.146696
0.530405,0.124091,-3.224811
0.157094,0.126651,-2.968941
0.159481,0.124446,-2.922131
0.237197,0.120563,-2.912691
0.186197,0.122430,-2.916041
0.305493,0.120068,-2.904840
0.292794,0.119113,-2.865922
0.232493,0.122191,-2.940965
0.138951,0.126222,-2.929548
0.195447,0.122744,-2.913387
0.195338,0.122345,-2.912302
0.195497,0.122521,-2.912710
0.234165,0.122021,-2.880003
0.158436,0.122144,-2.863085
0.256802,0.119669,-2.847464
0.240893,0.118773,-2.812543
1.384223,0.126315,-4.955691
0.164982,0.121430,-2.830988
0.164599,0.121626,-2.831156
0.281829,0.120703,-2.930136
0.159929,0.123150,-2.917122
0.321481,0.117633,-2.879785
0.269823,0.119239,-2.857105
0.139261,0.125208,-2.925953
0.160368,0.123545,-2.917808
0.255190,0.121811,-2.890842
0.256691,0.119354,-2.846935
0.200736,0.122530,-2.872283
0.575377,0.123061,-4.848594
0.131811,0.124657,-2.927152
0.324530,0.118953,-2.884949
0.228276,0.118077,-2.811730
-0.129380,0.164734,-5.000969
-0.268565,0.175353,-4.984290
0.555730,0.340051,-4.861730
0.199762,0.120501,-2.865798
0.557800,0.356881,-4.860692
0.664783,0.184725,-4.911307
1.319607,-0.893564,-4.953492
0.093826,0.114111,-2.511566
-0.814714,-0.395083,-1.792809
-7.586854,0.577688,-4.045878
-3.351869,0.119531,-0.646050
-0.527286,0.279416,-1.424704
-1.946014,-0.258293,-0.998809
-0.361263,0.137681,-2.374346
-0.415590,0.149006,-2.571101
-0.605574,-0.220521,-3.126055
-0.839236,-0.502496,-1.593165
0.552337,0.126204,-2.134412
-0.429754,0.149244,-2.567422
-0.732556,0.027312,-1.612512
-2.151638,-0.491465,-0.947724
-0.339600,0.106954,-2.064448
-0.669988,0.161818,-3.122451
-0.677431,-0.236648,-1.720664
-0.386453,-0.437211,-2.217059
0.905437,-3.166106,-12.487476
0.058200,0.115200,-2.485664
0.091457,0.116977,-2.493536
0.058326,0.115517,-2.484450
-0.476159,-0.204985,-4.477043
-0.338192,0.348850,-4.548820
-0.524704,-0.059365,3.196365
0.467860,0.183834,-4.886662
0.585320,0.378858,-4.978489
1.768562,-0.924782,-4.687347
0.146153,0.106861,-2.294327
0.195557,0.104879,-2.333569
0.167008,0.107345,-2.343647
0.173254,0.106789,-2.298747
0.151671,0.106719,-2.300054
0.179546,0.105821,-2.300880
5.512876,-1.368992,-5.004925
8.456517,-2.449840,-5.423858
1.719599,-0.291365,-4.640001
6.228734,-0.783061,-4.933731
1.699213,0.121353,-4.619610
1.556684,0.139072,-4.614596
1.520686,0.094233,-4.619934
1.475382,0.094501,-4.630790
1.117008,0.123017,-3.689051
1.581093,-0.294078,-4.661005
1.515148,0.125415,-4.617714
1.477891,0.102692,-4.624830
2.372404,-0.419928,-4.805629
1.759396,-0.258535,-4.625550
1.760819,-0.257292,-4.627925
1.480945,0.093805,-4.636953
1.476857,0.123740,-4.675665
2.044615,0.109735,-4.624664
1.505336,0.124969,-4.613045
5.787260,-0.183733,-4.886950
5.803213,-0.194270,-4.874257
5.783276,-0.191974,-4.879905
5.342799,0.027969,-4.685978
5.786488,-0.188081,-4.883131
-0.867935,-0.052728,3.235477
-0.571122,-0.053457,3.089485
3.469934,0.076010,-4.747638
3.464757,0.075000,-4.746540
10.709929,-2.081335,-5.293677
5.261568,-0.096982,-4.933155
4.232794,-0.151404,-5.212201
3.974167,-0.217098,-5.209429
3.977737,-0.218926,-5.213828
3.493989,0.080847,-4.858865
3.957100,-0.143064,-5.212874
4.117191,-0.151004,-5.221388
3.958526,-0.075809,-5.209960
4.278685,-0.164103,-5.247784
-1.346236,-0.118385,2.988037
-1.362633,-0.195092,4.937839
-0.351221,0.089086,-0.470999
0.129022,0.089849,-0.690616
-0.016102,0.107580,-1.073787
0.190094,0.047394,0.151910
-0.055451,0.108115,-1.059429
0.898154,-0.630597,1.565259
-2.321899,-0.084791,4.549867
0.037881,0.107104,-1.085810
-0.416039,0.092489,-0.493548
3.678922,-0.073292,-5.218325
3.630656,-0.048013,-5.213494
3.743006,0.079074,-5.218132
3.588622,0.082290,-5.210064
4.056479,0.068769,-5.196800
-4.942119,-1.148385,5.990973
-1.452900,-0.058414,3.771059
-0.792434,-0.054239,3.261155
-0.576685,-0.054110,3.130521
1.277519,-0.918730,-1.886730
1.599538,-0.282158,-4.639123
1.613763,-0.286222,-4.632004
1.464597,0.108857,-4.826411
1.969553,-0.301636,-4.654346
1.345471,0.121812,-4.859909
1.681758,-0.289930,-4.634485
1.630581,-0.285950,-4.587295
