frame_id,x,y,z,yaw
1167,7.20073,-0.0898147,-4.48166,0.352243
1174,7.31503,-0.0937953,-4.46799,0.349263
1178,7.38298,-0.0956618,-4.45984,0.361054
1176,7.34792,-0.0951554,-4.4635,0.327291
1188,7.5497,-0.102032,-4.43849,0.32976
1192,7.61655,-0.105596,-4.43045,0.307239
1177,7.36746,-0.0956391,-4.46138,0.349486
1184,7.48373,-0.0997204,-4.44724,0.321024
1182,7.45146,-0.0978837,-4.45106,0.335332
1191,7.60194,-0.104932,-4.43232,0.306082
1186,7.5162,-0.101392,-4.44282,0.310201
1185,7.50208,-0.100958,-4.44519,0.328732
1194,7.64753,-0.106999,-4.42681,0.314398
1195,7.66045,-0.107429,-4.42548,0.297
1189,7.56846,-0.102791,-4.43633,0.31995
1196,7.67936,-0.108215,-4.42258,0.295626
1201,7.75721,-0.111353,-4.41305,0.314863
1203,7.78993,-0.112858,-4.40882,0.295932
1199,7.72395,-0.110466,-4.41747,0.314671
1204,7.8128,-0.112457,-4.40536,0.288443
1209,7.88886,-0.116189,-4.39543,0.285342
1218,8.07253,-0.122835,-4.37109,0.296629
1206,7.84287,-0.11393,-4.40177,0.312501
1210,7.9061,-0.117006,-4.39307,0.303178
1207,7.85724,-0.11445,-4.3996,0.294442
1213,7.95414,-0.118762,-4.38649,0.269639
1220,8.10993,-0.124752,-4.36604,0.283103
1215,7.98834,-0.120215,-4.38205,0.292673
1217,8.02065,-0.12149,-4.37809,0.299609
1224,8.17472,-0.127134,-4.35739,0.277297
1221,8.12926,-0.124817,-4.36344,0.296607
1223,8.16188,-0.126328,-4.3583,0.273852
1230,8.27698,-0.129765,-4.34347,0.273908
1228,8.24527,-0.12892,-4.34779,0.285503
1236,8.37345,-0.133555,-4.32969,0.28094
1243,8.50472,-0.138405,-4.31276,0.28183
1241,8.46841,-0.137197,-4.31741,0.276562
1234,8.33885,-0.132691,-4.33505,0.283465
1233,8.32536,-0.131533,-4.33619,0.281086
1244,8.51922,-0.139187,-4.31106,0.289401
1239,8.43024,-0.13578,-4.32246,0.27309
1248,8.59306,-0.141378,-4.29952,0.272887
1252,8.66704,-0.14467,-4.2899,0.306733
1255,8.71938,-0.146675,-4.28185,0.301968
1260,8.85205,-0.16058,-4.27761,0.175477
1246,8.55439,-0.140199,-4.30535,0.272425
1257,8.75479,-0.148517,-4.27381,0.271225
1250,8.62671,-0.144168,-4.29517,0.293169
1259,8.83201,-0.160042,-4.28339,0.192664
1261,8.8714,-0.160962,-4.27021,0.171473
1265,8.93051,-0.164016,-4.24233,0.133669
1268,8.97875,-0.16509,-4.21222,0.103842
